Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Bus,Bus with ULB Reported,Bus >= ULB,Articulated Bus,Articulated Bus with ULB Reported,Articulated Bus >= ULB,Over-the-Road Bus,Over-the-Road Bus with ULB Reported,Over-the-Road Bus >= ULB,Double Decker Bus,Double Decker Bus with ULB Reported,Double Decker Bus >= ULB,School Bus,SchoolBus with ULB Reported,School Bus >= ULB,Van,Van with ULB Reported,Van >= ULB,Cutaway,Cutaway with ULB Reported,Cutaway >= ULB,Automobile,Automobile with ULB Reported,Automobile >= ULB,Minivan,Minivan with ULB Reported,Minivan >= ULB,Sport Utility Vehicle,Sport Utility Vehicle with ULB Reported,Sport Utility Vehicle >= ULB,Trolleybus,TrolleyBus with ULB Reported,Trolleybus >= ULB,Heavy Rail Passenger Car,Heavy Rail Passenger Car with ULB Reported,Heavy Rail Passenger Car >= ULB,Light Rail Vehicle,Light Rail Vehicle with ULB Reported,Light Rail Vehicle >= ULB,Commuter Rail Passenger Coach,Commuter Rail Passenger Coach with ULB Reported,Commuter Rail Passenger Coach >= ULB,Commuter Rail Self-Propelled Passenger Car,Commuter Rail Self-Propelled Passenger Car with ULB Reported,Commuter Rail Self-Propelled Passenger Car >= ULB,Locomotive,Locomotive with ULB Reported,Locomotive >= ULB,Automated Guideway Vehicle,Automated Guideway Vehicle with ULB Reported,Automated Guideway Vehicle >= ULB,Vintage/Historic Trolley,Vintage/Historic Trolley with ULB Reported,Vintage/Historic Trolley >= ULB,Streetcar,Streetcar with ULB Reported,Streetcar >= ULB,Aerial Tramway,Aerial Tramway with ULB Reported,Aerial Tramway >= ULB,Monorail,Monorail >= ULB,Cable Car,Cable Car with ULB Reported,Cable Car >= ULB,Inclined Plane,Inclined Plane with ULB Reported,Inclined Plane >= ULB,Ferryboat,Ferryboat with ULB Reported,Ferryboat >= ULB,Other,Other with ULB Reported,Other >= ULB,Total Revenue Vehicles,Total with ULB Reported,Total Revenue Vehicles >= ULB,Automobiles,Automobiles >= ULB,Trucks and Other Rubber Tire Vehicles,Trucks and Other Rubber Tire Vehicles >= ULB,Steel Wheel Vehicles,Steel Wheel Vehicles >= ULB,Total Service Vehicles,Total Service Vehicles >= ULB
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,70006,Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",465,372,372,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,589,52,34,17,271,107,0,0,305,124
Metropolitan Transportation Commission,San Francisco,CA,90094,COG or Other Planning Agency,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,3,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0
Regional Transportation Commission of Washoe County,Reno,NV,90001,Public Agency or Authority of Transit Service,Full Reporter,74179,"Reno, NV--CA","446,529",421,74,74,11,4,4,0,0,0,0,0,0,0,0,0,0,63,51,0,45,45,0,0,0,0,220,170,0,79,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,387,11,0,0,13,4,0,0,13,4
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,60007,Public Agency or Authority of Transit Service,Full Reporter,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",392,121,121,0,6,6,0,0,0,0,0,0,0,0,0,0,29,0,0,49,49,31,8,0,0,137,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,208,31,7,2,55,11,0,0,62,13
"San Diego Association of Governments, dba: SANDAG",San Diego,CA,90095,COG or Other Planning Agency,Full Reporter,78661,"San Diego, CA","3,070,300",391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0
Transit Authority of Northern Kentucky,Covington,KY,40019,Public Agency or Authority of Transit Service,Full Reporter,16885,"Cincinnati, OH--KY","1,686,744",121,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,6,0,0,11,2,0,0,11,2
Pierce County Transportation Benefit Area Authority,Lakewood,WA,00003,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",382,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,270,266,0,107,107,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,534,9,3,3,97,6,0,0,100,9
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,30070,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",380,47,47,2,0,0,0,104,104,23,0,0,0,0,0,0,130,2,0,0,0,0,0,0,0,225,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,153,25,0,0,4,1,0,0,4,1
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,260,260,36,53,53,14,9,9,0,0,0,0,0,0,0,5,0,0,112,112,11,0,0,0,28,28,21,0,0,0,0,0,0,40,40,40,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,531,151,128,61,86,24,21,11,235,96
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,50008,County or Local Government Unit or Department of Transportation,Full Reporter,57466,"Milwaukee, WI","1,306,795",373,346,346,19,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,346,19,0,0,56,21,0,0,56,21
Puerto Rico Highway and Transportation Authority – Público,San Juan,PR,40105,Government Unit or Department of Transportation,Full Reporter,79093,"San Juan, PR","1,844,410",370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,102",0,0,57,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,626",0,0,0,0,0,0,0,0,0,0
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,90019,Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",367,253,253,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,169,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,512,145,29,22,164,122,1,1,194,145
"Westchester County, dba: The Bee-Line System",White Plains,NY,20076,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",366,247,247,40,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,49,19,10,9,9,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,432,50,0,0,33,7,0,0,33,7
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,90147,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",363,230,230,49,0,0,0,115,115,0,0,0,0,0,0,0,54,54,21,60,60,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,459,77,0,0,4,2,0,0,4,2
San Joaquin Council,Stockton,CA,99422,COG or Other Planning Agency,Full Reporter,85087,"Stockton, CA","414,847",360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,186,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.",West Palm Beach,FL,40037,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",359,155,136,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,236,230,0,0,0,0,43,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,409,8,53,9,39,2,0,0,92,11
Central Pennsylvania Transportation Authority,York,PA,30027,Public Agency or Authority of Transit Service,Full Reporter,97750,"York, PA","238,549",352,25,25,0,0,0,0,13,13,5,0,0,0,0,0,0,52,37,6,202,202,8,0,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,285,21,19,7,4,3,0,0,23,10
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,30083,Public Agency or Authority of Transit Service,Full Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",348,259,259,72,0,0,0,0,0,0,0,0,0,0,0,0,30,20,0,54,54,0,17,0,0,4,0,0,4,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,380,345,73,66,65,40,7,0,0,106,72
Capital District Transportation Authority,Albany,NY,20002,Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,267,256,83,14,14,0,0,0,0,0,0,0,0,0,0,29,20,0,18,18,0,0,0,0,56,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,308,83,6,0,35,10,0,0,41,10
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,00040,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",321,69,69,20,146,146,2,38,38,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,129,0,64,64,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,510,22,40,14,202,13,2,0,244,27
"Southwest Ohio Regional Transit Authority, dba: Metro / Access",Cincinnati,OH,50012,Public Agency or Authority of Transit Service,Full Reporter,16885,"Cincinnati, OH--KY","1,686,744",321,309,309,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,359,73,35,28,33,17,0,0,68,45
"County of Nassau, dba: Nassau Inter County Express",Mineola,NY,20206,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",319,272,272,0,5,5,0,0,0,0,0,0,0,0,0,0,48,33,12,70,70,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,385,12,13,4,40,9,0,0,53,13
San Mateo County Transit District,San Carlos,CA,90009,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",312,263,263,145,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,36,35,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,402,181,36,12,41,18,0,0,77,30
Foothill Transit,West Covina,CA,90146,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",303,333,333,0,24,24,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,359,0,21,7,6,0,0,0,27,7
Transit Authority of River City,Louisville,KY,40018,Public Agency or Authority of Transit Service,Full Reporter,51755,"Louisville/Jefferson County, KY--IN","974,397",300,225,225,30,0,0,0,0,0,0,0,0,0,0,0,0,73,13,13,44,42,15,114,0,0,26,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,280,58,11,8,38,26,0,0,49,34
Niagara Frontier Transportation Authority,Buffalo,NY,20004,Public Agency or Authority of Transit Service,Full Reporter,11350,"Buffalo, NY","948,864",294,294,294,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,24,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,395,121,4,4,106,66,0,0,110,70
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,40008,County or Local Government Unit or Department of Transportation,Full Reporter,15670,"Charlotte, NC--SC","1,379,873",289,554,554,162,0,0,0,74,74,18,0,0,0,0,0,0,12,12,0,83,83,26,0,0,0,15,15,15,27,27,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,809,221,12,12,125,35,0,0,137,47
"Montgomery County, Maryland, dba: Ride On, Montgomery County Transit",Rockville,MD,30051,County or Local Government Unit or Department of Transportation,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",288,350,350,44,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,373,44,0,0,45,15,0,0,45,15
Rhode Island Public Transit Authority,Providence,RI,10001,Public Agency or Authority of Transit Service,Full Reporter,72505,"Providence, RI--MA","1,285,806",286,252,252,101,0,0,0,0,0,0,0,0,0,0,0,0,40,27,0,43,43,32,5,0,0,17,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,331,133,5,5,45,22,0,0,50,27
"Fairfax County, VA, dba: Fairfax Connector Bus System",Fairfax,VA,30068,County or Local Government Unit or Department of Transportation,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",284,341,341,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,341,36,25,8,19,0,0,0,44,8
Spokane Transit Authority,Spokane,WA,00002,Public Agency or Authority of Transit Service,Full Reporter,83764,"Spokane, WA","447,279",279,136,136,54,20,20,6,0,0,0,0,0,0,0,0,0,73,73,52,109,109,22,0,0,0,14,14,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,363,134,3,1,57,9,0,0,60,10
Port Authority Trans-Hudson Corporation,New York,NY,20098,Public Agency or Authority of Transit Service,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,350,0,0,0,0,0,79,3,79,3
Central Ohio Transit Authority,Columbus,OH,50016,Public Agency or Authority of Transit Service,Full Reporter,19234,"Columbus, OH","1,567,254",274,317,317,13,0,0,0,0,0,0,0,0,0,0,0,0,78,78,15,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,406,39,4,4,62,3,0,0,66,7
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,40027,Public Agency or Authority of Transit Service,Full Reporter,86599,"Tampa--St. Petersburg, FL","2,783,045",270,243,234,99,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,13,8,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,242,99,34,7,17,5,0,0,51,12
Suburban Mobility Authority for Regional Transportation,Detroit,MI,50031,Public Agency or Authority of Transit Service,Full Reporter,23824,"Detroit, MI","3,776,890",269,224,224,17,62,62,0,0,0,0,0,0,0,0,0,0,4,4,1,157,157,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,447,24,7,7,55,5,0,0,62,12
Ben Franklin Transit,Richland,WA,00018,Public Agency or Authority of Transit Service,Full Reporter,44479,"Kennewick--Richland--Pasco, WA","255,401",268,79,79,18,0,0,0,0,0,0,0,0,0,0,0,0,199,199,127,116,116,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,397,145,22,22,48,29,0,0,70,51
City of Tucson,Tucson,AZ,90033,County or Local Government Unit or Department of Transportation,Full Reporter,88732,"Tucson, AZ","875,441",265,185,185,11,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,313,11,15,7,38,4,0,0,53,11
"City of Raleigh, dba: GoRaleigh",Raleigh,NC,40007,County or Local Government Unit or Department of Transportation,Full Reporter,73261,"Raleigh, NC","1,106,646",262,151,151,11,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,20,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,151,11,22,9,10,0,0,0,32,9
Victor Valley Transit Authority,Hesperia,CA,90148,Public Agency or Authority of Transit Service,Full Reporter,90541,"Victorville--Hesperia--Apple Valley, CA","355,816",258,61,61,4,0,0,0,5,5,0,0,0,0,0,0,0,63,2,2,51,48,7,0,0,0,24,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,116,13,15,5,23,10,0,0,38,15
"Suffolk County , dba: Dept of Public Works - Transportation Division",Yaphank,NY,20072,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",255,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,325,0,0,0,4,0,0,0,4,0
Mass Transportation Authority,Flint,MI,50032,Public Agency or Authority of Transit Service,Full Reporter,29872,"Flint, MI","298,964",245,101,101,2,0,0,0,13,13,0,0,0,0,0,0,0,29,29,0,98,98,0,36,36,6,4,4,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,320,8,10,10,31,2,0,0,41,12
Intercity Transit,Olympia,WA,00019,Public Agency or Authority of Transit Service,Full Reporter,65242,"Olympia--Lacey, WA","208,157",240,86,86,6,0,0,0,0,0,0,0,0,0,0,0,0,119,119,119,53,53,27,0,0,0,86,86,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,344,180,4,4,20,8,0,0,24,12
"Regional Transit Service - Monroe County, dba: RTS Monroe (MB) and RTS Access (DR)",Rochester,NY,20113,Public Agency or Authority of Transit Service,Full Reporter,75664,"Rochester, NY","704,327",240,174,174,35,30,30,10,0,0,0,0,0,0,0,0,0,23,20,0,59,59,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,283,73,21,9,12,9,0,0,33,18
Metropolitan Transit Authority,Madison,TN,40004,Public Agency or Authority of Transit Service,Full Reporter,61273,"Nashville-Davidson, TN","1,158,642",239,116,116,0,41,41,0,10,10,0,0,0,0,0,0,0,31,0,0,83,83,46,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,250,46,3,3,51,31,0,0,54,34
Atlanta-Region Transit Link Authority,Atlanta,GA,42000,Government Unit or Department of Transportation,Full Reporter,3817,"Atlanta, GA","5,100,112",239,0,0,0,0,0,0,125,125,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,29,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,125,11,1,0,9,3,0,0,10,3
Greater Richmond Transit Company,Richmond,VA,30006,Publicly-Owned or Privately Chartered Corporation,Full Reporter,74746,"Richmond, VA","1,059,150",236,134,134,16,0,0,0,5,5,5,0,0,0,0,0,0,19,0,0,88,88,35,8,8,8,34,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,235,64,3,3,27,19,0,0,30,22
North County Transit District,Oceanside,CA,90030,Public Agency or Authority of Transit Service,Full Reporter,78661,"San Diego, CA","3,070,300",231,153,153,27,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,20,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,28,28,16,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,235,51,38,29,70,55,3,0,111,84
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,10048,Government Unit or Department of Transportation,Full Reporter,37243,"Hartford, CT","977,158",229,236,0,0,22,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,6,6,26,3,0,0,32,9
Ann Arbor Area Transportation Authority,Ann Arbor,MI,50040,Public Agency or Authority of Transit Service,Full Reporter,2602,"Ann Arbor, MI","317,689",227,91,91,0,0,0,0,3,0,0,0,0,0,0,0,0,24,10,0,17,15,6,8,0,0,93,17,0,52,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,154,6,3,0,17,1,0,0,20,1
Kitsap Transit,Bremerton,WA,00020,Public Agency or Authority of Transit Service,Full Reporter,9946,"Bremerton, WA","224,449",218,86,86,44,0,0,0,42,42,30,0,0,0,0,0,0,94,94,64,65,65,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,0,0,0,298,296,150,16,16,76,22,0,0,92,38
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority",Syracuse,NY,20018,Public Agency or Authority of Transit Service,Full Reporter,86302,"Syracuse, NY","413,660",214,211,191,5,0,0,0,12,12,0,0,0,0,0,0,0,4,0,0,48,48,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,251,5,6,6,40,16,0,0,46,22
