Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Vehicle Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13-15,16-20,21-25,26-30,31-60,60+,Total Vehicles,Average Age of Fleet (in Years),Average Lifetime Miles per Vehicle
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Van,4,3,19,15,37,53,43,33,0,4,0,3,0,2,0,0,0,0,0,216,5.02,"121,923"
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Trucks and other Rubber Tire Vehicles (Service),0,25,60,61,16,0,6,0,4,0,0,0,0,19,43,12,1,5,0,252,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Steel Wheel Vehicles (Service),0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,5,0,11,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Sports Utility Vehicle,59,82,12,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,1.14,"22,132"
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Over-the-road Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,13.82,"266,264"
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Minivan,16,1,4,2,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,37,2.35,"76,110"
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Heavy Rail Passenger Car,0,2,24,46,40,8,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3.23,"190,298"
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Cutaway,0,0,0,0,1,1,9,6,7,29,26,13,5,4,0,0,0,0,0,101,9.28,"135,682"
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Bus,0,88,138,165,169,0,5,15,35,1,3,3,5,13,101,0,0,0,0,741,5.35,"230,386"
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Automobiles (Service),0,8,9,0,0,0,0,48,0,5,0,0,0,9,3,1,0,0,0,83,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Automobile,0,0,5,16,75,68,7,16,2,0,0,0,0,0,0,0,0,0,0,189,4.59,"248,415"
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Automated Guideway Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,25,13.20,"506,465"
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",Articulated Bus,0,0,0,0,0,10,11,43,0,0,0,0,25,0,0,0,0,0,0,89,8.06,"227,013"
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",Van,14,8,10,38,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,83,2.39,"251,634"
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",Trucks and other Rubber Tire Vehicles (Service),0,64,34,19,5,22,37,44,29,33,17,6,5,22,18,4,1,10,0,370,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",Sports Utility Vehicle,13,154,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,1.10,"76,884"
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",Over-the-road Bus,0,0,0,62,0,86,8,0,104,0,0,0,20,83,0,0,0,0,0,363,7.89,"235,827"
Mountain Family Center,Granby,CO,88286,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",Minivan,0,78,34,30,14,4,8,0,1,0,0,0,0,0,0,0,0,0,0,169,2.18,"363,628"
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",Light Rail Vehicle,0,0,0,0,0,0,0,38,0,0,19,0,0,0,18,0,0,0,0,75,10.40,"490,167"
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",Cutaway,0,0,40,80,40,50,0,4,0,0,0,0,0,0,0,0,0,0,0,214,3.54,"161,919"
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",Bus,0,0,45,20,0,124,72,0,164,0,7,100,79,72,0,0,0,0,0,683,8.20,"399,458"
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",Automobiles (Service),0,0,0,0,0,0,0,0,0,0,1,0,0,16,4,1,0,0,0,22,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",Automobile,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,25,1.40,"37,438"
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",Articulated Bus,0,0,14,0,0,0,18,0,0,68,0,0,0,0,0,0,0,0,0,100,7.48,"378,826"
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",Trucks and other Rubber Tire Vehicles (Service),29,44,48,44,167,158,72,66,31,24,53,11,1,17,15,11,18,9,0,818,,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",Steel Wheel Vehicles (Service),0,0,2,19,8,2,2,14,0,1,5,5,2,13,16,15,17,23,0,144,,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",Ferryboat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,26.50,"242,302"
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",Commuter Rail Self-Propelled Passenger Car,10,22,2,0,0,0,0,25,80,114,110,51,25,0,334,0,0,138,0,911,16.40,"1,014,123"
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",Commuter Rail Passenger Coach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,9,93,107,0,274,28.19,"2,013,407"
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",Commuter Rail Locomotive,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,25,6,15,0,59,28.15,"865,720"
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",Bus,0,0,0,2,2,0,4,0,1,3,2,1,0,1,0,0,0,0,0,16,7.31,"107,296"
MTA Bus Company,New York,NY,20188,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134",Trucks and other Rubber Tire Vehicles (Service),0,1,0,0,11,18,12,8,35,4,5,3,12,17,3,0,0,0,0,129,,
MTA Bus Company,New York,NY,20188,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134",Over-the-road Bus,123,106,4,0,0,0,0,0,0,0,0,0,0,175,117,0,0,0,0,525,8.79,"253,947"
MTA Bus Company,New York,NY,20188,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134",Bus,0,0,0,0,0,0,0,45,0,88,79,48,0,211,21,0,0,0,0,492,11.57,"370,205"
MTA Bus Company,New York,NY,20188,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134",Automobiles (Service),0,0,0,0,0,0,0,5,0,0,13,7,0,0,0,0,0,0,0,25,,
MTA Bus Company,New York,NY,20188,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134",Articulated Bus,0,0,49,4,0,13,69,6,0,0,0,0,0,0,0,0,0,0,0,141,4.48,"184,044"
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Van,0,64,1,42,0,39,0,20,13,19,5,0,0,30,1,0,0,0,0,234,5.47,"202,002"
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Trucks and other Rubber Tire Vehicles (Service),27,50,13,12,31,33,13,5,11,70,30,87,13,139,77,44,3,8,1,667,,
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Steel Wheel Vehicles (Service),0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,7,,
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Over-the-road Bus,0,0,9,0,0,0,0,0,0,0,0,0,0,21,34,0,0,0,0,64,14.77,"485,706"
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Minivan,0,0,25,53,6,10,37,33,29,16,5,45,11,0,0,0,0,0,0,270,6.63,"227,377"
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Light Rail Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,75,0,7,33,0,0,0,115,15.41,"903,364"
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Cutaway,0,0,25,68,0,23,28,25,14,0,0,0,0,0,0,0,0,0,0,183,4.50,"181,445"
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Commuter Rail Passenger Coach,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,13,0,50,23.16,"1,044,186"
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Commuter Rail Locomotive,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,14.12,"882,800"
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Bus,0,54,0,27,31,62,2,23,20,29,39,30,57,65,26,0,0,0,0,465,8.36,"363,218"
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Automobiles (Service),0,0,1,0,0,1,0,0,0,0,1,1,1,15,6,13,0,0,0,39,,
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",Articulated Bus,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5.00,"144,557"
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,50182,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,015",Cutaway,100,0,838,0,28,110,49,0,113,0,0,0,0,0,0,0,0,0,0,"1,238",2.86,"68,548"
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",Van,0,0,85,0,92,50,63,0,4,16,0,3,0,0,0,0,0,0,0,313,4.39,"37,628"
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",Trucks and other Rubber Tire Vehicles (Service),0,1,5,50,15,2,5,0,0,23,8,1,23,5,1,1,8,0,0,148,,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",Over-the-road Bus,0,7,0,0,0,6,0,9,0,13,0,0,0,0,0,0,0,0,0,35,6.20,"329,400"
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",Minivan,0,0,0,0,0,168,4,0,0,20,1,0,0,0,0,0,0,0,0,193,5.46,"66,449"
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",Cutaway,106,1,0,22,31,155,50,15,148,0,3,1,0,2,0,0,0,0,0,534,4.91,"115,855"
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",Bus,15,0,105,0,11,158,81,63,36,63,1,6,29,90,0,0,0,0,0,658,6.89,"282,003"
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",Automobiles (Service),0,0,0,0,0,4,26,0,1,0,0,0,16,2,0,0,0,0,0,49,,
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,Trucks and other Rubber Tire Vehicles (Service),0,5,30,43,27,18,25,31,20,26,25,18,13,48,31,8,6,2,0,376,,
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,Steel Wheel Vehicles (Service),0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,,
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,Over-the-road Bus,0,0,0,14,0,0,42,58,0,54,0,0,6,0,0,0,0,0,0,174,7.23,"328,011"
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,Light Rail Vehicle,0,0,3,19,7,0,0,0,0,0,2,13,29,45,52,14,17,0,0,201,14.60,"991,052"
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,Cutaway,1,47,13,0,43,12,217,0,69,2,0,0,0,0,0,0,0,0,0,404,5.39,"153,427"
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,Commuter Rail Self-Propelled Passenger Car,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,128,8.00,"483,015"
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,Bus,0,27,56,0,70,78,8,174,125,0,0,0,4,82,121,0,0,0,0,745,8.40,"362,557"
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,Automobiles (Service),0,0,0,3,1,3,3,0,0,17,5,3,9,0,4,0,0,0,0,48,,
Mountain Family Center,Granby,CO,88286,Corporation,Reduced Asset Reporter,,,,0,Automobile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,Articulated Bus,0,0,0,0,0,0,6,18,92,0,0,0,0,0,0,0,0,0,0,116,7.74,"214,421"
MTA Long Island Rail Road,Jamaica,NY,20100,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,Trucks and other Rubber Tire Vehicles (Service),21,6,13,72,170,98,66,114,27,30,22,12,4,25,9,1,2,3,0,695,,
MTA Long Island Rail Road,Jamaica,NY,20100,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,Steel Wheel Vehicles (Service),2,5,5,0,0,0,3,2,0,0,4,1,0,34,31,18,9,50,0,164,,
MTA Long Island Rail Road,Jamaica,NY,20100,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,Commuter Rail Self-Propelled Passenger Car,0,6,26,88,26,0,0,0,0,0,0,0,0,18,808,0,0,104,0,"1,076",17.27,"1,132,946"
MTA Long Island Rail Road,Jamaica,NY,20100,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,Commuter Rail Passenger Coach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,134,23.55,"1,354,355"
MTA Long Island Rail Road,Jamaica,NY,20100,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,Commuter Rail Locomotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,45,23.51,"905,948"
MTA Long Island Rail Road,Jamaica,NY,20100,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,Automobiles (Service),0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,,
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746",889,Trucks and other Rubber Tire Vehicles (Service),23,53,58,71,79,89,20,76,21,7,4,23,15,16,15,27,13,10,0,620,,
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746",889,Steel Wheel Vehicles (Service),2,4,7,0,3,0,2,1,1,0,0,2,1,2,16,11,15,14,0,81,,
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746",889,Commuter Rail Self-Propelled Passenger Car,0,0,0,0,0,0,32,42,22,56,8,0,0,0,18,0,0,0,0,178,8.65,"255,635"
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746",889,Commuter Rail Passenger Coach,0,0,7,0,0,0,0,0,0,0,0,0,0,2,300,122,54,294,67,846,33.33,"1,369,032"
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746",889,Commuter Rail Locomotive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,23,23,91,0,164,33.03,"1,320,690"
